district,year,yield_c_per_ha
Всего по области,2004,7.1
г.а. Кокшетау,2004,2.1
г.а Косшы,2004,
г.а. Степногорск,2004,3.0
Аккольский,2004,4.7
Аршалынский,2004,7.9
Астраханский,2004,7.0
Атбасарский,2004,5.7
Буландынский,2004,6.4
Егиндыкольский,2004,6.8
Биржан сал,2004,6.6
Ерейментауский,2004,5.6
Есильский,2004,5.4
Жаксынский,2004,9.0
Жаркаинский,2004,7.4
Зерендинский,2004,8.9
Коргалжынский,2004,4.6
Сандыктауский,2004,8.0
Целиноградский,2004,6.8
Шортандинский,2004,8.3
Бурабайский,2004,8.7
Всего по области,2004,7.1
г.а. Кокшетау,2004,2.1
г.а. Степногорск,2004,3.0
Аккольский,2004,4.9
Аршалынский,2004,8.4
Астраханский,2004,7.0
Атбасарский,2004,5.8
Буландынский,2004,6.4
Егиндыкольский,2004,6.8
Биржан сал,2004,6.5
Ерейментауский,2004,5.9
Есильский,2004,5.4
Жаксынский,2004,9.2
Жаркаинский,2004,7.5
Зерендинский,2004,9.6
Коргалжынский,2004,4.7
Сандыктауский,2004,7.9
Целиноградский,2004,6.9
Шортандинский,2004,8.5
Бурабайский,2004,8.2
Всего по области,2005,8.5
г.а. Кокшетау,2005,4.7
г.а Косшы,2005,
г.а. Степногорск,2005,2.3
Аккольский,2005,7.1
Аршалынский,2005,6.4
Астраханский,2005,8.3
Атбасарский,2005,8.6
Буландынский,2005,9.5
Егиндыкольский,2005,6.2
Биржан сал,2005,10.8
Ерейментауский,2005,4.4
Есильский,2005,7.2
Жаксынский,2005,9.3
Жаркаинский,2005,6.4
Зерендинский,2005,11.9
Коргалжынский,2005,3.7
Сандыктауский,2005,11.9
Целиноградский,2005,6.9
Шортандинский,2005,9.3
Бурабайский,2005,12.3
Всего по области,2005,8.3
г.а. Кокшетау,2005,4.5
г.а. Степногорск,2005,1.7
Аккольский,2005,7.0
Аршалынский,2005,6.3
Астраханский,2005,8.2
Атбасарский,2005,8.4
Буландынский,2005,9.5
Егиндыкольский,2005,6.2
Биржан сал,2005,10.8
Ерейментауский,2005,4.4
Есильский,2005,7.2
Жаксынский,2005,9.2
Жаркаинский,2005,6.5
Зерендинский,2005,11.6
Коргалжынский,2005,3.7
Сандыктауский,2005,11.4
Целиноградский,2005,6.9
Шортандинский,2005,9.1
Бурабайский,2005,11.7
Всего по области,2006,9.6
г.а. Кокшетау,2006,7.3
г.а Косшы,2006,
г.а. Степногорск,2006,5.8
Аккольский,2006,9.4
Аршалынский,2006,9.2
Астраханский,2006,6.4
Атбасарский,2006,8.8
Буландынский,2006,11.7
Егиндыкольский,2006,6.4
Биржан сал,2006,13.1
Ерейментауский,2006,8.7
Есильский,2006,8.1
Жаксынский,2006,12.0
Жаркаинский,2006,4.9
Зерендинский,2006,15.1
Коргалжынский,2006,5.1
Сандыктауский,2006,13.6
Целиноградский,2006,7.1
Шортандинский,2006,10.4
Бурабайский,2006,14.2
Всего по области,2006,9.5
г.а. Кокшетау,2006,7.3
г.а. Степногорск,2006,4.9
Аккольский,2006,9.5
Аршалынский,2006,9.1
Астраханский,2006,6.4
Атбасарский,2006,8.5
Буландынский,2006,11.6
Егиндыкольский,2006,6.4
Биржан сал,2006,13.3
Ерейментауский,2006,8.7
Есильский,2006,8.0
Жаксынский,2006,12.0
Жаркаинский,2006,4.9
Зерендинский,2006,15.1
Коргалжынский,2006,5.2
Сандыктауский,2006,13.1
Целиноградский,2006,7.0
Шортандинский,2006,10.4
Бурабайский,2006,13.8
Всего по области,2007,11.6
г.а. Кокшетау,2007,9.7
г.а Косшы,2007,
г.а. Степногорск,2007,9.3
Аккольский,2007,9.2
Аршалынский,2007,12.8
Астраханский,2007,8.2
Атбасарский,2007,10.6
Буландынский,2007,11.6
Егиндыкольский,2007,7.5
Биржан сал,2007,15.3
Ерейментауский,2007,9.7
Есильский,2007,12.4
Жаксынский,2007,16.6
Жаркаинский,2007,10.8
Зерендинский,2007,16.3
Коргалжынский,2007,6.8
Сандыктауский,2007,13.6
Целиноградский,2007,8.4
Шортандинский,2007,9.6
Бурабайский,2007,13.0
Всего по области,2007,11.4
г.а. Кокшетау,2007,9.7
г.а. Степногорск,2007,9.1
Аккольский,2007,9.0
Аршалынский,2007,12.0
Астраханский,2007,8.3
Атбасарский,2007,10.4
Буландынский,2007,11.4
Егиндыкольский,2007,7.5
Биржан сал,2007,15.7
Ерейментауский,2007,9.3
Есильский,2007,12.1
Жаксынский,2007,16.5
Жаркаинский,2007,10.8
Зерендинский,2007,16.1
Коргалжынский,2007,6.9
Сандыктауский,2007,13.3
Целиноградский,2007,8.2
Шортандинский,2007,9.3
Бурабайский,2007,12.5
Всего по области,2008,7.5
г.а. Кокшетау,2008,3.0
г.а Косшы,2008,
г.а. Степногорск,2008,
Аккольский,2008,4.0
Аршалынский,2008,8.1
Астраханский,2008,5.9
Атбасарский,2008,7.9
Буландынский,2008,6.5
Егиндыкольский,2008,6.6
Биржан сал,2008,4.1
Ерейментауский,2008,4.2
Есильский,2008,6.5
Жаксынский,2008,9.1
Жаркаинский,2008,9.2
Зерендинский,2008,10.9
Коргалжынский,2008,5.1
Сандыктауский,2008,10.4
Целиноградский,2008,6.8
Шортандинский,2008,6.9
Бурабайский,2008,7.6
Всего по области,2008,7.4
г.а. Кокшетау,2008,1.6
г.а. Степногорск,2008,
Аккольский,2008,4.0
Аршалынский,2008,7.7
Астраханский,2008,5.9
Атбасарский,2008,7.9
Буландынский,2008,6.4
Егиндыкольский,2008,6.7
Биржан сал,2008,4.1
Ерейментауский,2008,4.3
Есильский,2008,6.5
Жаксынский,2008,9.0
Жаркаинский,2008,9.2
Зерендинский,2008,10.3
Коргалжынский,2008,5.1
Сандыктауский,2008,10.0
Целиноградский,2008,6.7
Шортандинский,2008,6.8
Бурабайский,2008,7.5
Всего по области,2009,11.2
г.а. Кокшетау,2009,6.3
г.а Косшы,2009,
г.а. Степногорск,2009,6.8
Аккольский,2009,12.7
Аршалынский,2009,11.8
Астраханский,2009,9.5
