district,yield_mean_2004_2024_c_per_ha
Аккольский,9.073133333333333
Аршалынский,9.624721428571428
Астраханский,9.258088095238096
Атбасарский,9.824890476190475
Биржан сал,10.474283333333332
Буландынский,11.348285714285714
Бурабайский,12.253688095238095
Всего по области,9.962809523809524
Егиндыкольский,8.493719047619047
Ерейментауский,7.0305785714285705
Есильский,9.10855
Жаксынский,11.30955
Жаркаинский,8.447573809523808
Зерендинский,13.737692857142857
Коргалжынский,7.376766666666667
Сандыктауский,13.421504761904762
Целиноградский,8.682092857142857
Шортандинский,10.34215
г.а Косшы,9.897533333333334
г.а. Кокшетау,9.778892857142857
г.а. Степногорск,6.184082500000001
